waveem,flux
6.173652e+03,2.110850e+00
6.171854e+03,2.026942e+00
6.170056e+03,2.122470e+00
6.168259e+03,2.153402e+00
6.166461e+03,2.138589e+00
6.164663e+03,2.131896e+00
6.162865e+03,2.021156e+00
6.161067e+03,2.149818e+00
6.159269e+03,2.133157e+00
6.157471e+03,2.202781e+00
6.155673e+03,2.225349e+00
6.153875e+03,2.279035e+00
6.152077e+03,2.257503e+00
6.150279e+03,2.240050e+00
6.148482e+03,2.076724e+00
6.146684e+03,2.281776e+00
6.144886e+03,2.220060e+00
6.143088e+03,2.121739e+00
6.141290e+03,2.141988e+00
6.139492e+03,2.187798e+00
6.137694e+03,2.214387e+00
6.135896e+03,2.259185e+00
6.134098e+03,2.304181e+00
6.132300e+03,2.190844e+00
6.130502e+03,2.195779e+00
6.128705e+03,2.244528e+00
6.126907e+03,2.167924e+00
6.125109e+03,2.087550e+00
6.123311e+03,2.099876e+00
6.121513e+03,2.288292e+00
6.119715e+03,2.253478e+00
6.117917e+03,2.435213e+00
6.116119e+03,2.289237e+00
6.114321e+03,2.284292e+00
6.112523e+03,2.395717e+00
6.110725e+03,2.380055e+00
6.108927e+03,2.303679e+00
6.107130e+03,2.293812e+00
6.105332e+03,2.297177e+00
6.103534e+03,2.091443e+00
6.101736e+03,2.129742e+00
6.099938e+03,2.317115e+00
6.098140e+03,2.141479e+00
6.096342e+03,2.225234e+00
6.094544e+03,2.213901e+00
6.092746e+03,2.122779e+00
6.090948e+03,2.283186e+00
6.089150e+03,2.137050e+00
6.087353e+03,2.243949e+00
6.085555e+03,2.112142e+00
6.083757e+03,2.159926e+00
6.081959e+03,2.334760e+00
6.080161e+03,2.353759e+00
6.078363e+03,2.176629e+00
6.076565e+03,2.315119e+00
6.074767e+03,2.237360e+00
6.072969e+03,2.270846e+00
6.071171e+03,2.171327e+00
6.069373e+03,2.211443e+00
6.067576e+03,2.071301e+00
6.065778e+03,2.175484e+00
6.063980e+03,2.095890e+00
6.062182e+03,2.179622e+00
6.060384e+03,2.185434e+00
6.058586e+03,2.296795e+00
6.056788e+03,2.505603e+00
6.054990e+03,2.280924e+00
6.053192e+03,2.563522e+00
6.051394e+03,2.359454e+00
6.049596e+03,2.354809e+00
6.047798e+03,2.482260e+00
6.046001e+03,2.602013e+00
6.044203e+03,2.627921e+00
6.042405e+03,2.168697e+00
6.040607e+03,2.232001e+00
6.038809e+03,2.161457e+00
6.037011e+03,2.146177e+00
6.035213e+03,2.133344e+00
6.033415e+03,2.148268e+00
6.031617e+03,2.022253e+00
6.029819e+03,2.197582e+00
6.028021e+03,2.119945e+00
6.026224e+03,2.012452e+00
6.024426e+03,2.150099e+00
6.022628e+03,2.144736e+00
6.020830e+03,2.232411e+00
6.019032e+03,2.010366e+00
6.017234e+03,2.102713e+00
6.015436e+03,2.117634e+00
6.013638e+03,2.053561e+00
6.011840e+03,2.010821e+00
6.010042e+03,2.145479e+00
6.008244e+03,2.221439e+00
